0.161 0.146  -0.284 0.204
0.239 -0.152  -0.584 0.213
0.433 -0.173  -0.571 0.373
0.546 0.098  -0.275 0.592
0.696 -0.235  -0.672 0.537
0.453 -0.115  -0.522 0.422
0.114 -0.021  -0.460 0.158
0.502 0.100  -0.307 0.523
0.213 -0.055  -0.494 0.224
0.632 -0.117  -0.535 0.574
0.523 -0.296  -0.704 0.387
0.583 0.035  -0.373 0.601
0.063 0.133  -0.301 0.144
0.515 -0.048  -0.446 0.502
0.422 0.080  -0.321 0.436
0.644 -0.264  -0.683 0.483
0.451 -0.233  -0.653 0.356
0.644 0.035  -0.379 0.661
0.275 -0.267  -0.683 0.229
0.543 -0.143  -0.569 0.479
0.357 0.003  -0.402 0.350
0.313 -0.091  -0.503 0.307
0.301 0.032  -0.391 0.330
0.146 -0.296  -0.716 0.150
0.446 0.043  -0.356 0.454
0.183 -0.026  -0.466 0.215
0.469 0.061  -0.347 0.495
0.502 0.106  -0.273 0.557
0.581 0.098  -0.295 0.623
0.463 -0.262  -0.661 0.356
0.463 -0.204  -0.606 0.376
0.453 0.063  -0.321 0.462
0.345 -0.213  -0.644 0.268
0.469 -0.235  -0.649 0.367
0.153 -0.235  -0.657 0.155
0.104 -0.143  -0.588 0.135
0.420 -0.120  -0.526 0.390
0.571 -0.152  -0.572 0.488
0.522 0.006  -0.407 0.525
0.546 -0.058  -0.468 0.512
0.353 -0.060  -0.480 0.336
0.414 -0.204  -0.621 0.344
0.423 -0.318  -0.732 0.299
0.273 0.035  -0.388 0.293
0.439 -0.218  -0.638 0.345
0.196 -0.078  -0.511 0.221
0.532 -0.081  -0.489 0.488
0.592 -0.242  -0.670 0.456
0.308 0.101  -0.296 0.348
0.155 -0.117  -0.548 0.172
0.483 -0.282  -0.715 0.344
0.377 -0.078  -0.494 0.347
0.456 -0.038  -0.469 0.423
0.664 -0.242  -0.681 0.494
0.581 0.094  -0.290 0.634
0.472 0.126  -0.259 0.517
0.141 -0.152  -0.592 0.158
0.264 -0.192  -0.618 0.239
0.644 -0.035  -0.453 0.627
0.623 0.005  -0.422 0.603
0.515 0.132  -0.256 0.563
0.391 -0.173  -0.575 0.333
0.210 0.014  -0.400 0.245
0.565 -0.035  -0.465 0.540
0.632 -0.081  -0.509 0.583
0.463 -0.141  -0.552 0.410
0.267 0.052  -0.357 0.295
0.422 -0.037  -0.445 0.419
0.581 0.100  -0.282 0.615
